lugar_de_instalacion,lat,lon,formatted_address
"Ruta provincial Nº 2, km 45, El Peligro, Pcia. de Buenos Aires,sentido de circulación: Mar del Plata - CABA",,,
"Ruta provincial Nº 2, km 45, El Peligro, Pcia. de Buenos Aires, sentido de circulación: Mar del Plata - CABA",,,
"Ruta provincial Nº 2, km 45, El Peligro, Pcia. de Buenos Aires, sentido de circulación: desc. C2",,,
"Ruta Provincial N° 32 - km 122,5 (carril con sentido de circulación ascendente), en jurisdicción de la localidad de Pergamino, provincia de Buenos Aires",,,
"Ruta Provincial N° 32 - km 122,5 (carril con sentido de circulación descendente), en jurisdicción de la localidad de Pergamino, provincia de Buenos Aires",,,
"Av. Pte. Illia (ex ruta Pcial. Nº 21) km 242, San Nicolás, Pcia. de Bs As, sentido de circulación: Villa Constitución - San Nicolás.",,,
"Ruta Nacional Nº 188, km 10, San Nicolás, Pcia. Bs. As. 
Sentido:Descendente",,,
"Ruta Nacional Nº 188, km 10, San Nicolás, Pcia. Bs. As. Sentido: Descendente",,,
"Ruta Provincial Nº 2, km 203, Dolores. Bs. As. desc",,,
"Ruta Provincial Nº 2, km 156,2, Lezama, Pcia. Bs. As. 
Sentido:Descendente",,,
"Ruta Provincial N° 2, km 156,2, Lezama, Pcia. de Bs. As. 
Sentido:Descendente (MdP - Bs. As.)",,,
"Ruta Provincial N° 2, km 156,2, Lezama, Pcia. de Bs. As. Sentido: Descendente (MdP - Bs. As.)",,,
"Ruta Provincial N° 2, km 156,2, Lezama, Pcia. de Bs. As. Sentido: Descendente carril 2",,,
"Ruta Provincial N° 2, km 156,2, Lezama, Pcia. de Bs. As. Sentido: Descendente",,,
"Ruta Provincial Nº 2, km 156,2, Lezama, Pcia. Bs. As. 
Sentido:Ascendente",,,
"Ruta Provincial N° 2, km 156,2, Lezama, Pcia. de Bs. As. 
Sentido:Ascendente (Bs. As. - MdP)",,,
"Ruta Provincial N° 2, km 156,2, Lezama, Pcia. de Bs. As. Sentido: Ascendente (Bs. As. - MdP)",,,
"Ruta Provincial N° 2, km 156,2, Lezama, Pcia. de Bs. As. Sentido: Ascendente carril 2",,,
"Calle Alte. Brown 4100, ciudad de Santa Fe, Pcia. de Santa Fe,sentido de circulación UTN - Paraná.",,,
"Av. Aristóbulo del Valle N° 8900 (sentido ascendente) de la localidad de Santa Fe de la Vera Cruz,provincia de Santa Fé.",,,
"Av. Directorio Nº 337, Ciudad Autónoma de Buenos Aires.",,,
Av. Directorio Nº 337 - CABA,,,
"Av. Rafael Obligado Nº 4845, Ciudad Autónoma de Buenos Aires,sentido de circulación: Sur - Norte (Centro hacia General Paz).",,,
"Av. Rafael Obligado Nº 4845, Ciudad Autónoma de Buenos Aires, sentido de circulación: Sur - Norte (Centro hacia General Paz).",,,
Av. Rafael Obligado Nº 4845 CARRIL 3 ascendente CABA,,,
"Av. Brasil Nº 2100, Ciudad Autónoma de Buenos Aires.",,,
Av. Brasil Nº 2100 - CABA,,,
Av.Rafael Obligado 4845 Carril 4 Asc. CABA,,,
"Av. Figueroa Alcorta 2200, Ciudad Autónoma de Buenos Aires.",,,
Av. Figueroa Alcorta Nº 2200,,,
"Av. Figueroa Alcorta Nº 2200, CABA",,,
Av.Figueroa Alcorta 2200,,,
AVENIDA FIGUROA ALCORTA 2200 -C5- ASC. CABA,,,
"Av. Figueroa Alcorta Nº 4750, Ciudad Autónoma de Buenos Aires.",,,
"Avenida Figueroa Alcorta Nº 4750, Ciudad Autónoma de Buenos Aires, sentido de circulación hacia Gral. Paz.",,,
"Av. Figueroa Alcorta Nº 4750, CABA, sentido: hacia Av. Gral. Paz.",,,
"Av. Belgrano 3349, Ciudad Autónoma de Buenos Aires.",,,
Av. Belgrano Nº 3349,,,
"Av. Belgrano Nº 3349, CABA",,,
Av. Belgrano 3349 Ciudad Autónoma de Buenos Aires,,,
"Elías Galvan 3830, esquina Manzanares, Ciudad Autónoma de Buenos Aires.",,,
Elías Galván Nº 3830 - CABA,,,
"Av. Figueroa Alcorta 5700, Ciudad Autónoma de Buenos Aires.Av. Coronel Roca Nº 4589, Ciudad Autónoma de Buenos Aires,",,,
Av. Fig. Alcorta Nº 5700 - CABA,,,
sentido de circulación: Este (Centro hacia General Paz).,,,
"Au. Dellpiane km 3,9, CABA, Sentido: Hacia Av. Gral Paz.",,,
"Avenida San Juan 2729, CABA",,,
"Autopista P. Moreno km 4,5 (sentido hacia Capital), Ciudad Autónoma de Buenos Aires.",,,
"Irigoyen 1761, CABA, asc.",,,
Irigoyen 1761 carril 3 Asc. CABA,,,
"Av. Figueroa Alcorta 5700, Ciudad Autónoma de Buenos Aires.",,,
